Graph Name,$V(G)$,$E(G)$,Graph Density,LB,UB,Melhor Fitness (ACO-FL),Tempo do Melhor Fitness (ACO-FL),Melhor Fitness (FL-GA),Tempo do Melhor Fitness (FL-GA)
cycle3-order75,75,75,0.027,-1,112,103,0.0178,108,0.032
cycle9-order225,225,225,0.0089,-1,337,307,0.1274,332,0.184
cycle7-order175,175,175,0.0115,-1,262,238,0.0936,257,0.258
cycle4-order100,100,100,0.0202,-1,150,135,0.031,146,0.044
cycle5-order125,125,125,0.0161,-1,187,168,0.0426,182,0.046
cycle6-order150,150,150,0.0134,-1,225,205,0.061,221,0.198
cycle10-order250,250,250,0.008,-1,375,339,0.1455,359,0.258
cycle1-order25,25,25,0.0833,-1,37,35,0.0033,36,0.002
cycle8-order200,200,200,0.0101,-1,300,272,0.0978,296,0.425
cycle2-order50,50,50,0.0408,-1,75,68,0.0096,72,0.009
path8-order200,200,199,0.01,-1,350,271,0.0979,295,0.129
path10-order250,250,249,0.008,-1,437,338,0.1446,367,0.093
path6-order150,150,149,0.0133,-1,262,203,0.0605,222,0.053
path5-order125,125,124,0.016,-1,218,169,0.0427,186,0.017
path4-order100,100,99,0.02,-1,175,135,0.0303,147,0.009
path9-order225,225,224,0.0089,-1,393,303,0.1223,332,0.094
path7-order175,175,174,0.0114,-1,306,235,0.0795,259,0.092
path3-order75,75,74,0.0267,-1,131,100,0.0179,110,0.012
path1-order25,25,24,0.08,-1,43,35,0.0033,37,0.001
path2-order50,50,49,0.04,-1,87,68,0.0093,74,0.004
star8-order200,200,199,0.01,4,350,4,0.1014,4,0.032
star10-order250,250,249,0.008,4,437,4,0.1508,4,0.049
star2-order50,50,49,0.04,4,87,4,0.0091,4,0.002
star4-order100,100,99,0.02,4,175,4,0.0298,4,0.009
star5-order125,125,124,0.016,4,218,4,0.0432,4,0.013
star3-order75,75,74,0.0267,4,131,4,0.0184,4,0.005
star9-order225,225,224,0.0089,4,393,4,0.1254,4,0.039
star6-order150,150,149,0.0133,4,262,4,0.0623,4,0.018
star7-order175,175,174,0.0114,4,306,4,0.0803,4,0.024
star1-order25,25,24,0.08,4,43,4,0.0033,4,0.001
tree7_order175,175,174,0.0114,100,306,251,0.1456,256,0.022
tree6_order150,150,149,0.0133,66,262,218,0.0992,223,0.017
tree3_order75,75,74,0.0267,37,131,112,0.0304,116,0.005
tree10_order250,250,249,0.008,142,437,366,0.1961,380,0.048
tree1_order25,25,24,0.08,16,43,36,0.0036,36,0.001
tree2_order50,50,49,0.04,33,87,69,0.0117,74,0.003
tree5_order125,125,124,0.016,62,218,179,0.0627,184,0.012
tree4_order100,100,99,0.02,66,175,143,0.0603,141,0.011
tree8_order200,200,199,0.01,114,350,298,0.1751,299,0.043
tree9_order225,225,224,0.0089,128,393,334,0.2116,332,0.038
